userName,score,at,content
Khakim Abdul,2,2023-11-02 17:41:55,Maaf kok mau tf aja gk bisa. Close app terus. Cache nya sudah tak hpus. Jaringan wifi. Di app yg lain lancar jaya. Buka fitur yg lain di bsi bisa semua kok. Lancar. Hanya saja ketika mau tf sudah isi nominal dan ktka klik lanjutkan lgsg aplikasi berhenti. Setlah itu malah ketika klik transfer lgsg clos app. Makasih
You-T,4,2023-11-02 16:17:11,"Min. Aplikasi BSI mobile banking V. 6.20.0, utk menu tranfer BI FAST, Bank Aceh Syariah nya tdk ada di daftat bank tujuan."
Musta Kim,5,2023-11-02 14:53:22,Sangat membantu 👍
Tri Cahaya,5,2023-11-02 13:44:57,Mantap
Kirana Almahyra Husna,1,2023-11-02 12:30:08,Kenapa tidak bisa install bsi mobile
Syahroni Husin,5,2023-11-02 11:35:37,Mantap
afni marpuah,1,2023-11-02 11:27:10,"Terlau rumit, menu virtual accound aja gk ada, Menu transfer terlalu ribet juga Banyaak menu gk penting. Kayanya mending saya bikin M banking rekening lain karna mudah dan simple"
Deddy N,1,2023-11-02 10:19:37,"Rooted device detected, padahal blm pernah rooting"
Abd Wahid,5,2023-11-02 10:02:54,Good
Mamat Rusmana,3,2023-11-02 09:54:01,Baik
Ahmad Hazmi Erde,5,2023-11-02 08:25:23,Mantul banget
Teguh Paryanto,1,2023-11-02 08:25:16,"Baru mau buka Apkikasi, belum apa-apa malah keluar sendiri......"
puji astuti,1,2023-11-02 07:41:48,Aplikasinya sering eror. Tidak bisa digunakan padahal jaringan bagus
Aulia Zikrullah,1,2023-11-02 02:44:44,"Ada bug, tidak bisa transfer. Tolong diperbaiki"
de farrel,3,2023-11-02 00:24:00,Elor teruss
Garou Cosmic,1,2023-11-01 23:51:14,"Bank satu ini emang mantep,, tpi boong yakali bagus,, gaji gw nda masuk2, kntl manis #BSIPALINGGACORR"
Dedik Destiawan,3,2023-11-01 23:33:35,"Mohon di tindak lanjuti lagi,aplikasi sering close sendiri berkali2, jadi susah transksi dan demi keamanan mohon segera di betulkan lagi sistemnya. Terima kasih"
Farhan Saja,5,2023-11-01 21:38:02,Mohon di perbaiki kinerjanya aplikasi BSI MOBILE ini.
6005 Ahmat ari mualim,3,2023-11-01 15:34:37,Biaya administrasi TF ke bank lain buset mahal bgt
Krys Aditya,3,2023-11-01 15:19:21,di app bsi saya.ketika mau melakukan transfer langsung mati.kembali ke halaman ponsel.bgmn solusinya
Naufal Mujaddid,1,2023-11-01 15:14:58,Giliran mau dipake malah eror. Jelek kualitas aplikasinya
Edo Okta Fernando,5,2023-11-01 14:46:58,Jadi mudah
JOEL BASYAH,1,2023-11-01 14:35:41,Bsi kenapa sering banget gangguannya. Mau ngirim gk bs buka aplikasi nya mlm ini
fauzan budi santoso,1,2023-11-01 14:15:22,"Aplikasi banyak bug nya, mau transaksi cepat malah terhambat"
kebun Rachel,1,2023-11-01 14:04:18,Lembet.. sering gak bisa dibuka eror😑
Zaky Rafi Ramadhan,1,2023-11-01 13:00:10,"Aplikasi payah developer nya sistem cacat masa saya harus berkali"" buat verifikasi wajah gagal mulu"
guslihan firdaus,1,2023-11-01 12:49:32,"Ada gangguan apa dengan BSI Kenapa saya tidak bisa mentransfer uang ke orang lain,,?"
Andrew Walker,2,2023-11-01 12:41:21,Apk bisa bug
Heru Arles,4,2023-11-01 12:39:06,Baik
The Pillow Talk,4,2023-11-01 12:14:07,"Mengecewakan, mau transfer malah ngebug. Giliran pakai kartu di ATM bilang gagal transaksi. Dahlah.."
Aris Maulana,5,2023-11-01 12:06:03,Sudah oke
Syahid chanel,1,2023-11-01 11:57:24,Transfer tidak bisa selalu keluar sendiri
Taufik Sidiq,1,2023-11-01 11:50:51,Kenapa selalu logot sebelum trx selesai..? Menghambat dikala semua serba cepat.. hmmm
saefuloh,2,2023-11-01 11:46:49,Saya gak bisa transfer
said kosim,5,2023-11-01 11:46:35,Setelah di update aplikasi jadi berat
Marwan Razak,5,2023-11-01 11:38:47,Baik
Maulana Widagdo,1,2023-11-01 11:35:59,Error nih. Enggak bisa transfer
Irfan Firmansyah,5,2023-11-01 11:33:05,Ok bsi
Fhian Nasution,1,2023-11-01 11:32:50,"Kecewa banget, saya bukan pengguna bank ini saya pengguna bank sebelah, kemarin tanggal 31-10-23 saya TF dari bank *** ke bank bsi punya saudara saya, di saya sudah terkirim tapi di sananya belum juga sampai tgl 1-11-23 transfernya masuk jam 4 sore, tapi NAMA sayanya gak ada di situ yang BIASANYA tertara nama penteransfernya itu malah GAK ADA sehingga uangnya belum bisa di ambil oleh kluarga saya di karnakan kendala nama, gara2 kejadian ini saya di LARANG untuk transfer ke saudara saya lagi."
Mirai Kurayami,3,2023-11-01 10:40:03,"Setelah di update kenapa saya kalau mau transfer ke bank lain aplikasi jadi keluar sendiri, dan ada notifikasi kalau aplikasi terdapat bug, tolong segera diperbaiki."
Tria Infinix,1,2023-11-01 10:39:36,"Terdeteksi device root,"
Mr Panda,5,2023-11-01 10:17:40,"bagus aplikasinya,tapi setelah diperbaiki saya mau transfer tetapi selalu kembali ke menu gimana pihak bsi"
setiawan,1,2023-11-01 10:13:14,"Yang bener lah kalo buat aplikasi, ngirim kode otp pun kalian tak mampu. Uda di coba berkali2 gk bisa juga"
Abdul Hamid,2,2023-11-01 10:04:54,Mau transfer keluar terus gimana sih bsi
Indra Rinaldi,5,2023-11-01 09:53:55,Kok apknya gk da cara tranfer virtual account (VA)..
Dappit M,5,2023-11-01 09:37:15,Mantap
Mas Bim,1,2023-11-01 09:29:54,"Astaghfirullah,, udah di sabar2in udh update aplikasi, masih aj eror, tiba2 keluar sendiri, mau tf gagal2 terus. Gx nyaman sekali😔"
HARISH WIEN,1,2023-11-01 08:53:25,Sangat Susah Aktivasinya
Hartono Rm,5,2023-11-01 08:45:02,Sangat membantu
Nasya Ellangga,1,2023-11-01 08:18:25,"Assalamualaikum,saya mau tanya saya barusan kirim uang di ATM 100rb tapi kok enggak bisa di Tarek ya, mohon infonya ya"
Doni Parabola,1,2023-11-01 08:05:21,"update terbaru, pencet history TF.... app langsung mental. bikin app jangan anak magang lah, cari yg bener² ahli!! bikin nasabah repot aja, hah ramutu blass !!!"
Rizky Prasetya Pratama,1,2023-11-01 08:03:17,Bsi kacau......
Mochamad Sofyan,2,2023-11-01 07:52:00,Assalamualaikum...Tiap mau klik transfer kok selalu keluar dari aplikasi ya? Apa ada masalah dg aplikasi BSI Mobile?
Akbar Fitrah Syabani,2,2023-11-01 07:20:34,sering bug
agus safari,4,2023-11-01 07:16:15,Kenapa sekarang gak bisa transaksi ke DANA????
Dody Sastro,5,2023-11-01 06:39:09,Mau transfer koq engga bisa nie
Rifai Ahmad,5,2023-11-01 06:33:37,Aplikasi bagus dan sangat membantu
Rohimudin,1,2023-11-01 06:15:03,Mw transaksi aja susahnya nauzubilah.ribet bat.inilah itulah.sumpah nyusain bgt kalo mw transaksi..cs ga bisa di hubungi....parah parah
ayu afriani,5,2023-11-01 06:06:28,mntap jiwa
Nina Rahayu,2,2023-11-01 05:57:38,"Selamat siang, mohon maaf kenapa ya saat saya mau melakukan transfer, saat transaksi malah keluar otomatis dri aplikasi"
Maria Si_91,3,2023-11-01 05:27:29,Kenapa dengan jaringan bsi mobile hari ini..setiap mau Tf aplikasi terhenti itu terus yg muncul.
Abdullah Azzam,5,2023-11-01 05:17:29,"Tolong diperbaiki lagi aplikasi mbanking nya sering force close, sedangkan saya maen game berat gak ada force close"
Almira dita,1,2023-11-01 04:56:08,EROR TERUSS
shinhye 11,3,2023-11-01 04:24:32,"Ak lupa kata sandi terus, harus gimana"
Mutia _,1,2023-11-01 04:22:27,"Pelayanan buruk , cs banyak tapi gak ada kerja , orang harus menunggublama utk komplain . terlalu banyak masalah .."
tri hadi,3,2023-11-01 04:21:58,Transfer terjadi bug . Setelah updateHari ini ketika memilih menu transfer dan memilih no rek . Yg mau di transfer aplikasi keluar sendiri . Mohon solusi dan infonya
Afzhal Zikri,2,2023-11-01 04:15:05,"sering banget nge bug min, hari ini aja mau tf uang gagal mulu"
Nico oki,1,2023-11-01 03:53:24,Dari dulu tu bermasalah terus mobile banking nya.. kalo bukan karena untuk penggajian males aku pake BSI
Aung,5,2023-11-01 03:52:16,Ok
Dwirani Indah Pratiwi,1,2023-11-01 03:41:31,"Sangat tidak membantu, terlalu banyak trouble. Nelpon 14040 pun sangat tidak membantu!!!!!!!!"
Kaos Kosong,4,2023-11-01 03:35:54,Diklik no rek tertentu kok keluar aplikasi kenapa ya?
Mugni Ilma,1,2023-11-01 03:21:02,Aplikasi jadi ngebug sejak update. Hati2 pakai ini Saldo transfer ke rekening juga susah sekali masuk
OIS ID,1,2023-11-01 03:20:53,Jelek sering banyak gangguan
Ardiansyah Putra,1,2023-11-01 02:54:00,"Stresss ini apk bsi, ga ada niat2 nya cuy"
Hayabusa Gaming,4,2023-10-31 23:47:59,Knp ya duit saya kirem dar semlam gak masok masok sampai sekarang sedangkan dibuat sukses
Ahmad Yazid,1,2023-10-31 22:33:02,Sangat sulit untuk login. Menggunakan pendeteksi wajah khususnya sampai vidcall pihak CS juga ttep gk bisa
Aulian Al azmi,2,2023-10-31 21:08:34,"Aktivasi bsi mobile kok bs data TDK sesuai padahal ya data yg dimasuukan sesuai,, Tolong dipermudah jngn dipersulit unt aktivasi"
Abdon Sius lalang,5,2023-10-31 21:01:57,Bangga dengan bsi
Syafwan Iwan,5,2023-10-31 17:14:49,Oke mantap
Portgaz D. ACE,2,2023-10-31 16:41:26,"makai bsi udah bertahun tahun sekalinya mau transfer dr kemaren masak iya akun tidak teregistrasi, makin kesini makin kesana"
Senjaku Senjaku,1,2023-10-31 14:46:08,Hallo kk knp bsi nya nggk bisa di buka
syifa dilla,1,2023-10-31 14:15:59,Gangguan terus
Raz Bayhas,1,2023-10-31 13:33:24,jujur saya kecewa sama BSI karna terkadang uang yg di transfer ke ATM kita gk masuk padahal udah jelas jelas di transfer tapi gk masuk. saran saya jangan pake bank bsi
Yudi Rahman,5,2023-10-31 13:11:17,"Knp aplikasi BSI setelah diperbaharui GX bisa dibuka,, mohon sarannya"
Aink Danu,1,2023-10-31 11:54:01,2kali transfer kepotong tapi nggak masuk
Afdal MA,5,2023-10-31 10:20:03,Aplikasinya mudah dimengerti
Iyus prochanel,4,2023-10-31 09:01:03,"Terkadang untuk proses ebanking sangat terkendala, mohon untuk proses ebanking lebih memudahkan"
Muhammad Arfani,2,2023-10-31 05:06:43,Saya di suruh buat kata sandi baru tapi tak bisa salah terus padahal sudah mengikuti arahannya mohon di perbaiki lagi ni sistem aplikasinya
NURUL ARIFIN,1,2023-10-31 00:22:23,"Verifikasi wajah gk ada respon.. hanya mempersulit saja gk ada guna. Padahal sudah ada verifikasi sms dan PIN. Terlalu di persulit,"
Hasil Bumi,5,2023-10-30 15:42:29,Mbanking BSI saya lancar terus tanpa kendala cpet gesit ... Untuk temen temen yg punya rekening bsi sebaiknya konsul ke cabang terdekat. Dulu saya juga pernah susah sekali aktivasi bahkan gagal terus. Setelah saya ke cabang terdekat alhamdulillah sampai sekarang belum ada masalah untuk mbanking BSI saya BSI good job sukses tuk BSI
samsol ponsel,2,2023-10-30 14:16:20,"Tolong min, aplikasi nya di tingkat kan lagi, kalo bisa setiap kita transaksi via BSImobile, kita bisa print via bluetooth boss👍 terima kasih 🙏"
Yuliana Shaliha,1,2023-10-30 12:12:36,"aku ngisi shopee pay, saldo rekeningku berkurang, mutasi ada, tapi tdk ada notiv berhasil. dan shopepay tdk terisi. ngajukan pengaduan malah disuruh ke kantor. hadeghh...oh iya infaqnya sekali pencet lngsung berhasil tanpa ada konfirmasi sandi. bug banget sih..."
Muhammad Novel,3,2023-10-30 10:27:16,"Kirim saldo lewat BSI kedana, saldo di BSI berkurang, tapi di dana gak masuk ,🤦 bikin gak nyaman aja"
Boy Candra,2,2023-10-30 10:04:34,"Ini masalah apa lagi Masa ga bisa d buka sama sekali RC99 error apaan Terus aplikasi tidak mendukung pada perangkat anda Padahal android 10, Minimal android 5 Sudah bs menggunakan aplikasi ini Aneh sekali Dibuka kluar sendiri dan ""RC99 erorr bla bla"""
ADHIATMA ADJI,5,2023-10-30 08:26:26,Good performance
Muhammad Khidir,4,2023-10-30 08:12:38,Beberapa hari terakhir ini saya gak bisa akses mobil banking. Kenapa ya?
Quinn briliant chanel,1,2023-10-30 07:24:20,Susah mau buka tab junior.
Ezra Kawulur,1,2023-10-30 03:57:44,"aplikasi nya keluar sendiri , padahal M-banking yang lain bisa kebuka, saya mau buka rekening baru tapi gak bisa karena keluar terus dari aplikasinya"
ahsani newbie,1,2023-10-30 03:52:41,Sering keluar buat verifikasi.padahal saya buatnya di bank nya
muhammad sani,1,2023-10-30 03:51:09,"Gak ada penjagaan, gak sengaja kepencet infaq langsung ke kirim gak ada minta Password atau apa, rugi 500rb, mending pake bank lain aja"
Oyi Sukini,5,2023-10-30 03:36:03,Dengan BSI semua bisa lancar
Aji Sapautra,5,2023-10-30 03:23:41,Aplikasi ini bagus dan bermanfaat seakli untuk kirim uang dan menabung
Amaq Fahreza,1,2023-10-30 01:43:08,Aplikasi gagal start setelah update. Tolong kenyamanan nasabah diperhatikan dengan baik
M. Sadin,1,2023-10-30 00:30:24,BSI
Thesa Izfadllillah,1,2023-10-29 21:17:30,"Masa hampir tiap pindah layar muncul iklan? Liat saldo, muncul iklan. Cek mutasi, muncul iklan. Berkali-kali! 😡"
mus takim,5,2023-10-29 19:50:16,vermuk login 1 jam ga baca baca parah
Iwan pay,2,2023-10-29 13:48:10,"Katanya tidak ada potongan & bunga ternyata Banyak sekali potongan, administrasi ATM, potongan biaya pemindahbukuan, potongan biaya sms"
Dhany 2N,5,2023-10-29 04:39:47,Bagus sekali
Moh. Afandi S. Tananda,5,2023-10-29 04:34:51,"Alhamdulilah,, BSI Mobile sudah yang terbaik😊"
Tri Tomo,5,2023-10-29 04:22:51,Aplikasi sangat lengkap mudahkan dalam transaksi
Muhibbah Abidatul,1,2023-10-29 03:54:13,Gangguan terooooosss
Jajang Murpratomo,5,2023-10-29 02:07:25,"Fitur lengkap dan mudah digunakan. Mulai dari bayar token listrik, transfer, sampai top up e-wallet semua bisa"
Haniz Djuly,1,2023-10-28 20:03:31,Sudah verifikasi dan pin sdh benar sy masukkan tapi malah diblokir terus kenapa ini mesti terjadi saya sangat kecewa
Irfan Bahdim,1,2023-10-28 18:31:10,"Makin muak liat bsi, terlalu banyak gangguan, terlalu banyak masalah, setor uang bisa gak masuk, mana harus buat laporan ke kantor cabang, menjijikkan, hapus saja bank syariah yg banyak gangguan kek gini"
Wira Tino,3,2023-10-28 17:49:22,Test bsi me
m. burhanudin,3,2023-10-28 16:52:38,"Saran untuk developer aplikasi BSI, pohon segera diperbaiki untuk tampilan aplikasinya. Karena saya sebagai pelanggan BSI penyandang tunanetra tidak dapat mengakses aplikasi tersebut secara mandiri. Dikarenakan banyaknya tombol yang tidak terbaca oleh aplikasi screen reader. Semoga update kedepannya aplikasi BSI mobile mudah dan ramah terhadap penyandang disabilitas seperti saya, untuk menggunakannya. Terima kasih."
agung edi27,5,2023-10-28 15:52:16,"Transaksi di BSI mobile lebih mudah dan lancar ,"
Rezki Ramadhan,1,2023-10-28 13:52:57,"Personalisasi rekening sdh d aktifkn rek tab haji, tapi waktu mentransfer ke bank lain malah tidak muncul.. Aplikasi tidak konsisten"
Wal'asri. Ilyas,5,2023-10-28 13:21:54,Sangat Puas
Tri Amelia Sari,1,2023-10-28 12:37:48,"plis susah banget mau buka aplikasinya, harus nunggu lama banget baru kebuka. susahhh kalo mau tf cepet karen nunggu buka aplikasinya super lama bangetttt. jaringan juga bagus banget karena buka mbanking lain bisa, bsi doang ni susah banget."
Jajang Bustomi,1,2023-10-28 12:04:11,"Ini ko suruh aktifasi lagi ya padahal udah diaktifasi terus pas verifikasi wajah gagal sama lewat call center gagal juga verifikasi lanjutannya sulit dimengerti suruh nunggu sms ga datang datang, hadeh mana mau transaksi sunggu sulit"
adam “adamuung” uung,1,2023-10-28 12:03:33,Apk nya ga mau login mohon perbaiki
Asmawikkg,5,2023-10-28 10:55:28,Coba
Yusrina Adila,5,2023-10-28 09:41:00,Terbaik
Ssaidhaikal Alkaf,1,2023-10-28 06:58:43,Bank terburuk sedunia
Ade Sunarya,1,2023-10-28 06:16:33,Udah instal tapi gak bisa dibuka selalu ada notif bsi mobile terhenti
Ega Wati,5,2023-10-28 04:10:26,Mudah2n bisa di pakai terus. Cocok untuk yg urgent butuh rekening. Daftar langsung di hp
CHO 049,1,2023-10-28 03:51:09,Makin gajelas.hp gapernah di otak atik.kluar notif rc99 roated device detected.ngaco ini lama2...hadeeeeeh.bru aktifasi ulang muncul lagi device roated detected.padahal hp gadiapa apain.parah
joko santoso,1,2023-10-28 03:35:28,"Susah sekali untuk verifikasi wajah langkah 2 senyum .... buang buang waktu, minta bantuan ke CS pun sudah dicegat security harus coba verifikasi wajah sendiri sampe bisa, gak dikasih daftar antrian oleh security. Konyol"
Muhammad Saryulis,4,2023-10-28 02:33:44,tambahin mode gelap dongg
Sobirin Birin,5,2023-10-28 02:17:48,Super app BSI tahun depan(2024) baru di luncurkan. Kita tunggu aja inovasi dari BSI
Chandra Agung Sugara,1,2023-10-28 00:59:01,"Ribet sekali mau lihat saldo !! Tampilan terlalu banyak sampah di halaman depan, gak guna . Kurang simpel"
syahendra 89,1,2023-10-28 00:05:52,Kalau bukan aplikasi rekening sudah aku hapus
Adjie Pamungkas,5,2023-10-28 00:02:31,Mantapp
Mila Official,1,2023-10-27 20:17:31,Aplikasi mbanking terburuk! Login mbanking susah verifikasi wajah gagal terus gaada solusi
Fahmi 02,1,2023-10-27 17:39:00,"Gak jlas bank kink nya,bantar2 gangguan"
Yulisa Putri,1,2023-10-27 12:51:56,Gimana sih ini aplikasi..daah hampir seminggu gax bs dibuka..menghambat sekali.. dah ke cs nya..solusinya downlod doang.. dy ngerti ap enggak sih..gax da solusinya..bener2..bener2 gax bs dibuka..ni kemana lg ya..ni saya bener2 penting ini
Deden New,4,2023-10-27 12:25:53,Gimana ya caranya biar jadi 2 banking?
Lantowagi wagi,5,2023-10-27 12:09:51,Very good
Kuliah Santri,2,2023-10-27 11:48:22,"Mohon diperbaiki lagi, jika tetap seperti ini, akan membuat nasabah tidak betah. Karena setelah di update banyak yang eror."
Suryanaulala,1,2023-10-27 08:51:19,"Mohon untuk pihak bsi, fitur transaksi qris nya found nominal nya di perbesar seperti bank"" yang lain. Kita para pengguna qris tidak bisa melihat dengan jelas nominal karena customer menunjuk kadang terlalu jauh. Tapi kalo bank"" yang lain itu besar"", mohon ya untuk pembesaran found nya aja. Terima kasih, semoga di tanggapi demi kepentingan bersama;)"
Kang Jey,1,2023-10-27 08:07:39,"Daftar OTP siang pukul 11 an, sore baru masuk pukul 16:43 Ini keterlaluan!"
Supai Supai,5,2023-10-27 07:03:23,Buaguuuussss
Kang Noey,1,2023-10-27 07:00:19,Susah banget mau daftar nya....
murai ipin17,2,2023-10-27 06:41:54,"Min tolong ini di perhatikan.... Transfer ke sesama BSI dengan nomer rekening yg sama, kenapa harus masukin lagi nomer rekeningnya jadi nya kan ribet...klo yg lain kan cuma dr riwayat tranfer langsung bisaa transfer lagi tanpa masukin nomer rekening lagi. TOLONG INI SEGERA DI PERBAIKI"
dhimaz ananda,1,2023-10-27 06:17:21,Gak bisa di uninstall apk nya. Hadeuh 😪
Arif RH,1,2023-10-27 03:26:23,"Mau aktivasi online susah, ribet"
Rizal HF,2,2023-10-27 03:08:46,"Kapan mau update tampilan , sudah terlalu kuno tampilanya jngan mau kalah sama bank sebelah"
Pandit Kusumargo Muredy,3,2023-10-27 02:58:04,"Alhamdulillah sudah bisa digunakan, gitu dong, besok2 sebelum update dicek semua lini ya QA nya sebelum di launch"
indahsaputri handayani,1,2023-10-27 02:24:30,Kenapa TDK bisa copot aplikasi BSI ya...semenjak buka pertama kali sampai skrg susah bgt buat copot ini aplikasinya...🤦muter kaya gangsing mulu
Tamin Indra Jaya,5,2023-10-27 02:20:16,Saya sangat puas dengan fitur syari'ahnya
Januar Tri Kurniawan,3,2023-10-26 23:27:39,"Fitur scan QRIS, tidak bisa dipakai"
Ridho Kharunniawan,1,2023-10-26 18:17:04,trauma pake bsi uang nyangkut di mesin udah menghubungi cs nya tindakan nya terlaku lama saldo sudah kepotong ga di kembalikan
yudi syahid,1,2023-10-26 17:34:24,Kecewa sama BSI
alung cintana,5,2023-10-26 14:29:37,Mantppp
Agus Sugianto,1,2023-10-26 13:56:54,Tambahkan fitur mutasi pembiayaan
Dani Dewa,5,2023-10-26 12:15:06,Ok
Muhammad Firman,5,2023-10-26 10:29:16,Tolong bosku
Kus Miranst,5,2023-10-26 10:14:23,barokalloh sukses selalu
MJ Ervansah (ERVANSAH),5,2023-10-26 10:03:59,Membantu
Miftahul Hair,5,2023-10-26 09:37:48,Membantu dan bagus
Imam Rahadian,1,2023-10-26 08:04:05,"Saya punya beberapa apk mbanking dan e-wallet,bca,cimb,bri,gopay,ovo,dan bsi Dari semua apk tsb hanya bsi mobile yg sering error g bisa di buka dg note rc99 rooted detected,kok bisa????padahal handphone saya g pernah di apa2in??please team terkait yg bener lah kerjanya.."
Raden Gunawan,1,2023-10-26 07:39:50,Tidak berguna dengan fungsi nya
Doni Faisal,1,2023-10-26 07:26:02,Apk kaga bs d hapus dr hp..
amir black,3,2023-10-26 07:12:05,Bsi kenapa sering error klu mau ada transferan dari bank lain
Ibrahim Abdullah,1,2023-10-26 06:49:15,"mending bank BSI di cabut izinya klo emang gak bisa layanin nasabhnya dengan baik ,masa di tf sama rekning BCA gak masuk masuk ke BSI per jam jam sampe nungu 3hari baru masu ,ksyak kirim uang dari jakarta ke jogja pake becak ontel aja"
عبدالرحيم عبدالرحمن,5,2023-10-26 05:59:36,Baru pertama kali mengajukan pembuatan rekening walaupun alot dan pelan pelan tapi alhamdulillah puas dan senang hati
Jagad Jagad,1,2023-10-26 05:55:10,Qris nya tidak bisa dibuka makin lama makin jelek aja
Endri Saputra,5,2023-10-26 05:48:27,BSI. Bank Syariah Indonesia. Yg di perkembang kan di Aceh. Semoga amanah dan membantu yg kurang mampu
Sifera vina,1,2023-10-26 05:39:34,Transfer gagal. Padahal ada mutasinya dan saldo kepotong. Lagi ada keperluan mendadak tapi suruh nunggu max 14 hari dan bisa diperpanjang.
Yuminar Jon Hendri,5,2023-10-26 03:04:57,Aplikasi keren
Puji Lestari,5,2023-10-26 02:31:41,Mantap
Uje Jack,5,2023-10-26 01:47:50,Good
أفضل بن محمد سعيد,1,2023-10-25 22:05:43,"Saya sering kecewa baik TF ke bank lain gak masuk2 dan kadang tarik tunai yg gk ada duit keluar padahal saldo udah kepotong, pas lapor tunggu 5 hari kedepan padahal kita butuh duit saat itu.. Sangat mengecewakan sekali."
ivan verrary,5,2023-10-25 15:21:21,lumayan baik
Azhari Skep,5,2023-10-25 13:42:21,Sering macet atau gk upded
AL FATIH TEHNIK Service,5,2023-10-25 12:41:18,Bgus
Muhammad Rizky siregar,1,2023-10-25 12:24:13,"Halo admin, knp saya ditransfer teman uang dari rekening bank laintidak ada masuuangnya ke rekening saya padahal ddi transaksi dia sudah berhasil, di informasi saldo saya belum ada masuk? Tolong di respon adminn"
Anggi Aulia Rizki,1,2023-10-25 12:23:00,"Salalu permintaan kehabisan waktu ntah apa yang habis ,saya perlu m banking karena saldo saya didalam itu semua,kalo gini lain kali enggk mau deh saya Tarok di BSI lagi percuma ada m banking enggk bisa berfungsi"
m alhabsyi,3,2023-10-25 12:13:52,"Tolong kondisikan keadaan uang di atm, tarik tunai di atm ada nemu uang sobek dan ditambal dg plester,, dan lebih sering nemu uang dalam keadaan sdh jelek dan kumal"
0zil Ibrohiem,3,2023-10-25 12:10:32,Pemula
Rahim Ritonga Driver,3,2023-10-25 11:59:03,Konfirmasi saat login sangat susah. Peripikasi wajah disuruh senyum berjam jam juga gak bisa bisa.
Jangkrik Bandit,1,2023-10-25 10:48:44,"Mau pindah perangkat aja ribet bener, pake acara aktivasi2 gak jelas"
Ruang karya channel,3,2023-10-25 08:46:57,maaf susah sekali masuk pada saat pengambilan gambar
